item,cond,item_type,preamble_text,preamble_tts,preamble_audio,option_left,option_right,correct_key,expected,notes
36,fill_08_mismatch,filler_mismatch,"On the road, they fixed the flat rainbow.","On the road, they fixed the flat rainbow.",audio/e2_fill_08_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
37,fill_09_match,filler_match,"In the garden, we planted tomato seeds.","In the garden, we planted tomato seeds.",audio/e2_fill_09_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
38,fill_09_mismatch,filler_mismatch,"In the garden, we planted tomato keyboards.","In the garden, we planted tomato keyboards.",audio/e2_fill_09_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
39,fill_10_match,filler_match,"At the station, he missed the last train.","At the station, he missed the last train.",audio/e2_fill_10_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
40,fill_10_mismatch,filler_mismatch,"At the station, he missed the last volcano.","At the station, he missed the last volcano.",audio/e2_fill_10_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
41,fill_11_match,filler_match,"In the office, she opened her laptop.","In the office, she opened her laptop.",audio/e2_fill_11_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
42,fill_11_mismatch,filler_mismatch,"In the office, she opened her waterfall.","In the office, she opened her waterfall.",audio/e2_fill_11_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
43,fill_12_match,filler_match,"After rain, the street looked very wet.","After rain, the street looked very wet.",audio/e2_fill_12_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
44,fill_12_mismatch,filler_mismatch,"After rain, the street looked very violin.","After rain, the street looked very violin.",audio/e2_fill_12_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
45,fill_13_match,filler_match,"For dessert, they served chocolate cake.","For dessert, they served chocolate cake.",audio/e2_fill_13_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
46,fill_13_mismatch,filler_mismatch,"For dessert, they served chocolate screwdriver.","For dessert, they served chocolate screwdriver.",audio/e2_fill_13_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
47,fill_14_match,filler_match,"In the movie, the hero saved the child.","In the movie, the hero saved the child.",audio/e2_fill_14_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
48,fill_14_mismatch,filler_mismatch,"In the movie, the hero saved the microwave.","In the movie, the hero saved the microwave.",audio/e2_fill_14_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
49,fill_15_match,filler_match,"Before work, he locked the front door.","Before work, he locked the front door.",audio/e2_fill_15_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
50,fill_15_mismatch,filler_mismatch,"Before work, he locked the front galaxy.","Before work, he locked the front galaxy.",audio/e2_fill_15_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
51,fill_16_match,filler_match,"At the clinic, they cleaned the wound carefully.","At the clinic, they cleaned the wound carefully.",audio/e2_fill_16_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
52,fill_16_mismatch,filler_mismatch,"At the clinic, they cleaned the thunder carefully.","At the clinic, they cleaned the thunder carefully.",audio/e2_fill_16_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
53,fill_17_match,filler_match,"On Sunday, we visited the city museum.","On Sunday, we visited the city museum.",audio/e2_fill_17_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
54,fill_17_mismatch,filler_mismatch,"On Sunday, we visited the city stapler.","On Sunday, we visited the city stapler.",audio/e2_fill_17_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
55,fill_18_match,filler_match,"In traffic, drivers waited at the red light.","In traffic, drivers waited at the red light.",audio/e2_fill_18_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
56,fill_18_mismatch,filler_mismatch,"In traffic, drivers waited at the red guitar.","In traffic, drivers waited at the red guitar.",audio/e2_fill_18_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
57,fill_19_match,filler_match,"At school, children read a short story.","At school, children read a short story.",audio/e2_fill_19_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
58,fill_19_mismatch,filler_mismatch,"At school, children read a short sandwich.","At school, children read a short sandwich.",audio/e2_fill_19_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
59,fill_20_match,filler_match,"After practice, the team packed the equipment.","After practice, the team packed the equipment.",audio/e2_fill_20_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
60,fill_20_mismatch,filler_mismatch,"After practice, the team packed the moonlight.","After practice, the team packed the moonlight.",audio/e2_fill_20_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
